Appendix C. Acceptable Chronic Toxicity Data of Aluminum to Freshwater Aquatic Animals,,,,,,,,,,,,,,,,,,
,,,,,,,,,Values in bold used in SMAV calculation,,,,,,,,,
Species,Total Hardness (mg/L as CaCO3),pH,"DOC
(mg/L)",EC20 Endpoint,,"EC20
(µg/L)",Reference,,"Normalized Conc.- EC20
(µg/L)",Reason excluded from SMCV,,"SMCV-EC20
(µg/L)","GMCV-EC20
(µg/L)",,Genus,,DOC Notes,Dilution water
,,,,,,,,,,,,,,,,,,
"Oligochaete, Aeolosoma sp.",48.000,5.9500,0.2500,Reproduction (population size),,"1,235.0000",OSU 2012e; Cardwell et al. 2018,,"13,562",,,"13,562","13,562",,Aeolosoma,Invert,Author reported; half the detection limit,Soft Lab Recon water
,,,,,,,,,,,,,,,,,,
"Rotifer, Brachionus calyciflorus",100.000,6.4500,0.2500,Reproduction (population size),,431.0000,OSU 2012c; Cardwell et al. 2018,,"1,220",,,,,,Brachionus,,Author reported; half the detection limit,Mod Hard Lab Recon water
"Rotifer, Brachionus calyciflorus",63.000,6.3000,1.3900,Reproduction (population size),,"1,751.0000",OSU 2018e,,"2,987",,,,,,Brachionus,,Author reported,Recon Lab water
"Rotifer, Brachionus calyciflorus",105.000,6.3000,1.3900,Reproduction (population size),,"2,066.0000",OSU 2018e,,"2,541",,,,,,Brachionus,,Author reported,Recon Lab water
"Rotifer, Brachionus calyciflorus",114.000,6.2000,2.6300,Reproduction (population size),,"3,061.0000",OSU 2018e,,"2,858",,,,,,Brachionus,,Author reported,Recon Lab water
"Rotifer, Brachionus calyciflorus",105.000,6.1000,3.7700,Reproduction (population size),,"4,670.0000",OSU 2018e,,"4,398",,,,,,Brachionus,,Author reported,Recon Lab water
"Rotifer, Brachionus calyciflorus",185.000,6.3000,1.3300,Reproduction (population size),,"1,604.0000",OSU 2018e,,"1,410",,,"2,340","2,340",,Brachionus,Invert,Author reported,Recon Lab water
,,,,,,,,,,,,,,,,,,
"Great pond snail, Lymnaea stagnalis",117.000,6.0000,0.2500,Biomass,,745.7000,OSU 2012b; Cardwell et al. 2018,,"3,931",,,,,,Lymnaea,,Author reported; half the detection limit,Recon Lab water (between mod hard and hard)
"Great pond snail, Lymnaea stagnalis",121.000,6.1500,1.3700,Biomass,,833.4200,OSU 2018f,,"1,198",,,,,,Lymnaea,,Author reported,Recon Lab water
"Great pond snail, Lymnaea stagnalis",124.000,6.1700,1.4500,Biomass,,"1,950.6000",OSU 2018f,,"2,580",,,,,,Lymnaea,,Author reported,Recon Lab water
"Great pond snail, Lymnaea stagnalis",117.000,5.9800,3.8500,Biomass,,"1,392.4000",OSU 2018f,,"1,488",,,"2,062","2,062",,Lymnaea,Mollusk,Author reported,Recon Lab water
,,,,,,,,,,,,,,,,,,
"Fatmucket, Lampsilis siliquoidea",105.500,6.0400,0.3950,Biomass,,169.0000,"Wang et al. 2016, 2018",,678,,,678,678,,Lampsilis,Mollusk,Author reported,Well water/deionized water mix
,,,,,,,,,,,,,,,,,,
"Cladoceran, Ceriodaphnia dubia",50.000,7.1500,1.1000,Reproduction - young/starting adult,,"1,779.6000",McCauley et al. 1986,,"1,342",,,,,,Ceriodaphnia,,Value is from personal communication with R. Erickson who works at the Lab,Raw Lake Superior water
"Cladoceran, Ceriodaphnia dubia",50.500,7.6100,1.1000,MATC: reproduction - young/starting adult),<,"1,100.0000",McCauley et al. 1986,<,612,f,,,,,Ceriodaphnia,,Value is from personal communication with R. Erickson who works at the Lab,UW-S Lake Superior lab water
"Cladoceran, Ceriodaphnia dubia",25.000,7.6500,0.5000,Reproduction - young/female,,"1,557.0000",ENSR 1992b,,"1,720",,,,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia",47.000,7.7000,0.5000,Reproduction - young/female,,808.7300,ENSR 1992b,,712,,,,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Soft Lab Recon water
